TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7187858,0.0044,0.0048,(-0.746| -0.820| 0.463),(-0.445| -0.588| 0.345| -0.580),(0.376| -0.923| -0.088),(-0.444| -1.561| 0.392),(0.467| 0.543| -0.399| 0.572),(1.694| -1.760| -5.112),(-0.182| 0.034| -0.027| 0.982),(0.077| 0.355| 0.932),(2.212| 0.616| 1.124),(0.119| 0.005| 0.024| -0.993),0.987,0.983,SpeedGauge,0,0,0
0,7187875,0.0044,0.0048,(-0.746| -0.820| 0.463),(-0.447| -0.587| 0.347| -0.579),(0.370| -0.925| -0.090),(-0.447| -1.566| 0.391),(0.467| 0.544| -0.399| 0.572),(1.696| -1.759| -5.109),(-0.179| 0.034| -0.028| 0.983),(0.078| 0.349| 0.934),(2.218| 0.588| 1.166),(0.120| 0.005| 0.025| -0.993),1,0.987,SpeedGauge,0,0,0
0,7187892,0.0044,0.0048,(-0.745| -0.820| 0.463),(-0.443| -0.588| 0.346| -0.582),(0.377| -0.922| -0.085),(-0.408| -1.645| 0.387),(0.466| 0.545| -0.399| 0.572),(1.699| -1.757| -5.108),(-0.183| 0.032| -0.028| 0.982),(0.074| 0.357| 0.931),(2.250| 0.906| 1.832),(0.121| 0.005| 0.025| -0.992),0.994,0.984,SpeedGauge,0,0,0
0,7187908,0.0047,0.0048,(-0.745| -0.821| 0.462),(-0.426| -0.600| 0.328| -0.593),(0.432| -0.898| -0.082),(-0.355| -1.631| 0.388),(0.465| 0.545| -0.399| 0.573),(1.704| -1.757| -5.103),(-0.212| 0.035| -0.029| 0.976),(0.081| 0.412| 0.908),(2.310| 1.343| 1.725),(0.122| 0.005| 0.025| -0.992),0.98,0.981,SpeedGauge,0,0,0
0,7187925,0.0044,0.0048,(-0.745| -0.820| 0.462),(0.408| 0.605| -0.317| 0.606),(0.474| -0.878| -0.064),(-0.313| -1.621| 0.404),(0.465| 0.545| -0.399| 0.573),(1.704| -1.756| -5.110),(0.236| -0.029| 0.028| -0.971),(0.070| 0.456| 0.887),(2.235| 1.711| 1.631),(0.122| 0.006| 0.026| -0.992),0.994,0.992,SpeedText,0,0,0
0,7187942,0.0044,0.0048,(-0.745| -0.819| 0.462),(0.411| 0.603| -0.321| 0.604),(0.465| -0.883| -0.064),(-0.322| -1.622| 0.404),(0.464| 0.545| -0.400| 0.573),(1.707| -1.756| -5.115),(0.231| -0.028| 0.029| -0.972),(0.068| 0.448| 0.892),(2.223| 1.635| 1.643),(0.122| 0.006| 0.026| -0.992),0.991,0.993,SpeedText,0,0,0
0,7187958,0.0044,0.0048,(-0.745| -0.818| 0.462),(0.411| 0.602| -0.322| 0.604),(0.462| -0.885| -0.063),(-0.325| -1.622| 0.405),(0.464| 0.546| -0.399| 0.573),(1.709| -1.756| -5.123),(0.229| -0.027| 0.029| -0.973),(0.066| 0.445| 0.893),(2.211| 1.610| 1.640),(0.123| 0.005| 0.026| -0.992),0.999,0.994,SpeedText,0,0,0
0,7187975,0.0047,0.0048,(-0.745| -0.817| 0.461),(0.410| 0.601| -0.324| 0.605),(0.461| -0.885| -0.057),(-0.326| -1.621| 0.409),(0.463| 0.546| -0.398| 0.574),(1.712| -1.757| -5.135),(0.229| -0.024| 0.029| -0.973),(0.061| 0.444| 0.894),(2.172| 1.606| 1.627),(0.125| 0.005| 0.026| -0.992),0.987,0.998,SpeedText,0,0,0
0,7187992,0.0047,0.0048,(-0.745| -0.815| 0.461),(0.410| 0.599| -0.326| 0.606),(0.458| -0.888| -0.053),(-0.330| -1.619| 0.413),(0.461| 0.547| -0.397| 0.575),(1.715| -1.756| -5.153),(0.227| -0.022| 0.029| -0.973),(0.056| 0.441| 0.896),(2.141| 1.577| 1.615),(0.127| 0.006| 0.026| -0.992),0.985,0.994,SpeedText,0,0,0
0,7188008,0.0044,0.0048,(-0.745| -0.812| 0.461),(0.409| 0.602| -0.323| 0.606),(0.465| -0.883| -0.058),(-0.323| -1.614| 0.409),(0.460| 0.547| -0.396| 0.577),(1.718| -1.756| -5.174),(0.231| -0.025| 0.030| -0.972),(0.062| 0.448| 0.892),(2.185| 1.633| 1.575),(0.129| 0.007| 0.025| -0.991),0.995,0.994,SpeedText,0,0,0
0,7188025,0.0044,0.0048,(-0.745| -0.809| 0.461),(0.410| 0.600| -0.326| 0.605),(0.459| -0.887| -0.055),(-0.329| -1.612| 0.411),(0.459| 0.547| -0.395| 0.578),(1.721| -1.752| -5.201),(0.228| -0.023| 0.029| -0.973),(0.058| 0.442| 0.895),(2.162| 1.584| 1.558),(0.130| 0.008| 0.025| -0.991),1,0.993,SpeedText,0,0,0
