TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7054294,0.004,0.0042,(-1.063| -0.619| 0.362),(0.409| 0.583| -0.373| 0.595),(0.388| -0.921| -0.013),(-0.823| -1.190| 0.353),(0.292| 0.644| -0.263| 0.657),(1.952| -4.586| -7.335),(0.198| 0.000| -0.001| -0.980),(-0.001| 0.389| 0.921),(1.948| -2.577| -2.577),(0.374| -0.001| 0.003| -0.928),0.996,1,None,0,0,0
0,7054311,0.004,0.004,(-1.072| -0.618| 0.361),(0.402| 0.588| -0.368| 0.598),(0.406| -0.914| -0.014),(-0.866| -1.081| 0.354),(0.293| 0.644| -0.263| 0.656),(1.956| -4.662| -7.344),(0.208| 0.000| 0.000| -0.978),(0.001| 0.407| 0.913),(1.960| -2.943| -3.484),(0.373| -0.002| 0.004| -0.928),0.99,0.997,None,0,0,0
0,7054328,0.004,0.004,(-1.081| -0.617| 0.360),(0.400| 0.588| -0.367| 0.599),(0.411| -0.912| -0.013),(-0.864| -1.097| 0.353),(0.292| 0.646| -0.263| 0.654),(1.963| -4.738| -7.352),(0.211| 0.000| 0.001| -0.978),(0.000| 0.412| 0.911),(1.961| -2.928| -3.345),(0.373| -0.003| 0.005| -0.928),0.989,0.992,None,0,0,0
0,7054344,0.004,0.004,(-1.090| -0.616| 0.359),(0.393| 0.587| -0.366| 0.606),(0.423| -0.906| 0.002),(-0.880| -1.066| 0.360),(0.289| 0.650| -0.259| 0.653),(1.970| -4.813| -7.360),(0.217| 0.007| -0.001| -0.976),(-0.014| 0.424| 0.905),(1.912| -3.053| -3.606),(0.378| -0.006| 0.007| -0.926),0.976,0.983,None,0,0,0
0,7054361,0.004,0.004,(-1.099| -0.615| 0.357),(0.391| 0.591| -0.363| 0.605),(0.431| -0.902| -0.003),(-0.868| -1.100| 0.356),(-0.285| -0.654| 0.253| -0.654),(1.977| -4.888| -7.367),(0.222| 0.005| 0.001| -0.975),(-0.009| 0.432| 0.902),(1.937| -2.952| -3.326),(-0.385| 0.009| -0.008| 0.923),0.984,0.989,None,0,0,0
0,7054378,0.004,0.0042,(-1.108| -0.613| 0.356),(0.392| 0.592| -0.364| 0.603),(0.429| -0.903| -0.008),(-0.812| -1.234| 0.350),(-0.279| -0.659| 0.244| -0.655),(1.986| -4.959| -7.383),(0.221| 0.003| 0.003| -0.975),(-0.004| 0.430| 0.903),(1.965| -2.491| -2.204),(-0.396| 0.013| -0.009| 0.918),0.979,0.978,None,0,0,0
0,7054394,0.0041,0.0041,(-1.116| -0.610| 0.355),(-0.385| -0.619| 0.342| -0.593),(0.470| -0.881| -0.063),(-0.782| -1.236| 0.310),(-0.271| -0.666| 0.234| -0.654),(1.994| -5.028| -7.404),(-0.242| 0.024| -0.015| 0.970),(0.053| 0.468| 0.882),(2.310| -2.254| -2.177),(-0.408| 0.018| -0.012| 0.913),0.954,0.96,None,0,0,0
0,7054411,0.0041,0.0043,(-1.124| -0.607| 0.354),(-0.376| -0.651| 0.315| -0.579),(0.518| -0.845| -0.130),(-0.741| -1.232| 0.257),(-0.264| -0.675| 0.225| -0.651),(2.003| -5.095| -7.433),(-0.269| 0.056| -0.029| 0.961),(0.124| 0.514| 0.849),(2.764| -1.927| -2.202),(-0.419| 0.026| -0.017| 0.908),0.926,0.907,None,0,0,0
0,7054428,0.0041,0.004,(-1.132| -0.602| 0.352),(-0.370| -0.658| 0.309| -0.579),(0.533| -0.834| -0.139),(-0.737| -1.220| 0.250),(-0.258| -0.685| 0.216| -0.647),(2.015| -5.160| -7.468),(-0.278| 0.060| -0.032| 0.958),(0.133| 0.529| 0.838),(2.833| -1.901| -2.301),(-0.428| 0.034| -0.022| 0.903),0,0,None,0,0,0
0,7054444,0.0038,0.0036,(-1.139| -0.598| 0.350),(-0.363| -0.665| 0.302| -0.578),(0.549| -0.822| -0.150),(-0.733| -1.206| 0.239),(-0.251| -0.695| 0.206| -0.642),(2.029| -5.225| -7.507),(-0.287| 0.065| -0.037| 0.955),(0.145| 0.544| 0.826),(2.922| -1.872| -2.414),(-0.439| 0.043| -0.029| 0.897),0,0,None,0,0,0
